[1] [CITE@en[Document Schema Definition Languages (DSDL)]]

,Part,Name          ,[ABBR@en[1[SUP@en[st]]][First Edition]] [ABBR@en[Ed][Edition]]
,1,[CITE@en[Overview]],([[FCD]])
,2,[CITE@en[Regular-grammar-based validation -- RELAX NG]],"2003, [ABBR@en[Amd.][Amendment]]1:2005"
,3,[CITE@en[Rule-based validation]],([[FDIS]])
,4,[CITE@en[Namespace-based Validation Dispatching Language]],([[FDIS]])
,5,[CITE@en[Datatypes]],([[WD]])
,6,[CITE@en[Path-based integrity constraints]],(no editor)
,7,[CITE@en[Character repertoire validation]],([[CD]])
,8,[CITE@en[Document Schema Renaming Language (DSRL)]],([[WD]])
,9,[CITE@en[Datatype- and namespace-aware DTDs]],([[WD]])
,10,[CITE@en[Validation Framework]],([[WD]])





