#
# CITPC私用文字マッピングテーブル
#
# 更新履歴
#  2015-07-21 Ver1.0
#   初版
#  2018-05-31 Ver2.0
#   MJ文字情報一覧表Ver.005.01を参照し72文字のMJ文字図形名とその暫定私用コードを追加
#   MJ文字情報一覧表Ver.005.02を参照し2文字のMJ文字図形名とその暫定私用コードを追加
#
# MJ文字図形名	暫定私用コード
MJ000007	U+101000
MJ000008	U+101001
MJ000012	U+101002
MJ000022	U+101003
MJ000023	U+101004
MJ000025	U+101005
MJ000027	U+101006
MJ000028	U+101007
MJ000029	U+101008
MJ000036	U+101009
MJ000037	U+10100A
MJ000045	U+10100B
MJ000046	U+10100C
MJ000047	U+10100D
MJ000048	U+10100E
MJ000073	U+10100F
MJ000074	U+101010
MJ000089	U+101011
MJ000105	U+101012
MJ000106	U+101013
MJ000129	U+101014
MJ000130	U+101015
MJ000143	U+101016
MJ000144	U+101017
MJ000145	U+101018
MJ000146	U+101019
MJ000150	U+10101A
MJ000156	U+10101B
MJ000157	U+10101C
MJ000175	U+10101D
MJ000176	U+10101E
MJ000183	U+10101F
MJ000184	U+101020
MJ000185	U+101021
MJ000206	U+101022
MJ000207	U+101023
MJ000208	U+101024
MJ000209	U+101025
MJ000241	U+101026
MJ000242	U+101027
MJ000245	U+101028
MJ000264	U+101029
MJ000265	U+10102A
MJ000266	U+10102B
MJ000267	U+10102C
MJ000269	U+10102D
MJ000270	U+10102E
MJ000276	U+10102F
MJ000277	U+101030
MJ000278	U+101031
MJ000302	U+101032
MJ000303	U+101033
MJ000309	U+101034
MJ000310	U+101035
MJ000311	U+101036
MJ000312	U+101037
MJ000317	U+101038
MJ000318	U+101039
MJ000332	U+10103A
MJ000333	U+10103B
MJ000380	U+10103C
MJ000381	U+10103D
MJ000405	U+10103E
MJ000406	U+10103F
MJ000408	U+101040
MJ000409	U+101041
MJ000432	U+101042
MJ000433	U+101043
MJ000436	U+101044
MJ000437	U+101045
MJ000462	U+101046
MJ000463	U+101047
MJ000472	U+101048
MJ000485	U+101049
