[1705] [[福徳私年号]]・[[月]]ごと地域ごとの用例数 /
令和8年8月6日時点暫定集計 (未精査)

,* 月           ,* 工房A       ,* 工房B       ,* 工房C       ,* 工房D       ,* 工房E       ,* 工房F       ,* 工房G       ,* 工房H       ,* 工房I       ,* 工房J       ,* 工房K       ,* 工房L       ,* 工房M       ,* 工房N       ,* 福島県       ,* 栃木県       ,* 群馬県       ,* 茨城県       ,* 千葉県       ,* 埼玉県       ,* 東京都       ,* 神奈川県      ,* 長野県       ,* 山梨県       ,* 滋賀県       ,* 計     
,* 戌1月         ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,        
,* 戌2月         ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,_/_/_ (1)   ,            ,            ,            ,            ,_/_/_ (1)
,* 戌3月         ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,1/_/_ (_)   ,            ,            ,            ,            ,1/_/_ (_)
,* 戌4月         ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,        
,* 戌5月         ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,        
,* 戌6月         ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,        
,* 戌7月         ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,1/_/_ (_)   ,            ,            ,            ,            ,            ,            ,            ,            ,1/_/_ (_)
,* 戌8月         ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,        
,* 戌9月         ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,        
,* 戌10月        ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,_/_/_ (1)   ,            ,_/_/_ (1)
,* 戌11月        ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,        
,* 戌12月        ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,_/1/_ (_)   ,            ,            ,            ,_/_/_ (4)   ,            ,_/1/_ (4)
,* 戌月不明        ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,_/_/_ (1)   ,            ,1/_/_ (_)   ,            ,            ,            ,            ,            ,            ,            ,            ,1/_/_ (1)
,* 亥1月         ,_/1/_ (_)   ,            ,            ,_/1/_ (_)   ,_/_/_ (1)   ,            ,_/_/_ (1)   ,            ,            ,            ,            ,            ,            ,            ,_/1/_ (_)   ,            ,            ,            ,            ,_/_/_ (1)   ,            ,_/1/_ (_)   ,            ,_/2/_ (_)   ,            ,_/6/_ (3)
,* 亥2月         ,_/1/_ (_)   ,_/_/_ (1)   ,_/1/_ (_)   ,            ,_/_/1 (_)   ,            ,            ,            ,_/1/_ (_)   ,            ,            ,            ,            ,            ,            ,_/1/_ (_)   ,_/_/_ (1)   ,_/1/_ (_)   ,            ,_/_/_ (1)   ,_/1/_ (_)   ,            ,            ,_/2/_ (_)   ,            ,_/8/1 (3)
