#?SuikaWiki/0.9 interactive="yes"
-{1} Grunch
-{1} Blonde-Hunter
-{1} Proxy-Referer
-{1} Xpad
-{1} X-Forwarded-Host
-{1} X-Forwarded-Server
-{1} Dweb-Client
-{1} X-Yzzy-Version
-{1} X-Iwx
-{1} Ua-Voice
-{1} Sp-Host
-{1} Crunch
-{1} Axxept-Encoding
-{1} Xxxxxxxxxxxxxxxxx
-{1} Acceptlanguage
-{1} Server-Lover
-{1} X-Uolaccel
-{1} Npfvoid
-{1} Negotiate
-{1} X-Aim
-{1} Referrer
-{1} Http
-{2} Wassa
-{2} Granola
-{2} If-Range
-{2} Vax-Username
-{2} X-Egz
-{2} X-Sina-Proxyuser
-{3} Npfrefr
-{3} 165-99-105-221nt-Ip
-{3} Ipadresseclient
-{4} X-Filtergate-Request
-{5} Nncoection
-{5} X-Sister
-{5} X-Ibm-Rca-Request
-{6} X-Up-Subno
-{7} X-Filtered
-{7} Cneonction
-{10} Xonnection
-{10} Mime-Version
-{12} Probixpbversion
-{12} Probixpbsignature
-{12} Probixpbcontext
-{14} Xxxxxxxxxx
-{14} X-Htx-Agent
-{15} Range
-{15} Auth-User
-{18} Cache-Info
-{19} Xxxxxxxxxxxxxxxx
-{22} Ua-Color
-{22} Ua-Pixels
-{24} Ua-Language
-{28} X-Awg-Client-Version
-{28} X-Awg-Client-Protocol-Version
-{30} Max-Forwards
-{32} Novinet
-{37} Xroxy-Connection
-{49} Wser-Agent
-{79} X-Imforwards
-{98} Date
-{108} Remote-Host
-{108} Proxy-Agent
-{149} Proxy-----------
-{209} Xxxxxxx
-{217} X-Locking
-{246} X-Cache-Id
-{268} Remote-Host-Wp
-{296} Cookie2
-{342} ----------
-{565} Xxxxxxxxxxxxxxx
-{653} Proxy-Connection
-{896} Client-Ip
-{991} X-Icap-Version
-{1289} Forwarded
-{1839} Extension
-{1852} Ua-Os
-{1857} Ua-Cpu
-{1978} Te
-{2342} Pragma
-{2391} Weferer
-{2544} Cookie
-{3131} X-Bluecoat-Via
-{6262} -------
-{6977} ---------------
-{8024} If-Modified-Since
-{13867} From
-{15458} X-Forwarded-For
-{16657} Keep-Alive
-{20485} Via
-{23078} Cache-Control
-{23654} Accept-Charset
-{100461} Accept-Encoding
-{116156} Referer
-{121871} Connection
-{133352} Accept-Language
-{148267} Accept
-{149723} User-Agent
-{150244} Host
